Department_ID,Department_Name,Manager_ID
ecc4c280-7dca-43fb-910b-561decd56843,Department_0,9af489c2-4491-48f8-a607-a5fab7a8fd1e
eb83da0d-98b5-4bd3-9a7b-a016aa7cb68f,Department_1,74333de0-4b64-4139-afbf-236d243a36eb
bb4f65a1-9a75-4cd4-a609-21e64931bcdc,Department_2,3d9c5e4e-93d6-4974-9a58-c7ef7c7ec407
5bf72cbd-60ae-47d2-b137-898f112fc67a,Department_3,ac5f0e33-705d-4b5f-8c02-ba8f89a732d0
e311bba2-8cd0-4186-a32b-d7d84b745575,Department_4,a327352f-8df1-4bc8-9269-93cc05a3b577
4456731c-c0d2-4388-ac10-55de441a6875,Department_5,adf55ea9-458c-44d1-adcd-f0213f9ddfee
b27d7598-5d79-4da9-af8f-14f98fd5e4f8,Department_6,78cb704e-b0c6-4605-b2c8-2da756edb7cc
fd0e774b-3af8-4897-ac03-49f7e3208023,Department_7,8185715b-528d-4fc2-a934-d6f26f926dd2
a0ca22b2-dfa9-4db8-aef5-c5fc132a8b72,Department_8,d7df175a-6392-497e-b7b1-d511d25b9804
3bb98fa4-5688-4e7f-a26d-8764300418fc,Department_9,2f311db3-232b-4473-b5a9-d2ed643c28a2
